,Company,TypeName,CPU_Frequency (GHz),RAM (GB),GPU_Company,Weight (kg),Price (Euro),Touchscreen,Ips,ppi,CPU,CPU_Tier,HDD,SSD,GPU_Tier,OS
348,Asus,2 in 1 Convertible,1.1,4,Intel,1.5,375.0,1,0,135.0942111925629,Celeron,1,0,0,2,Windows
349,Dell,Ultrabook,1.6,8,AMD,1.9,663.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
350,Dell,Notebook,2.8,16,Nvidia,2.06,2027.42,1,0,282.42399616439724,Core i7,4,0,512,3,Windows
351,HP,Notebook,2.7,8,Intel,1.84,1304.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
352,MSI,Gaming,2.8,8,Nvidia,2.7,1409.0,0,0,127.33567457123111,Core i7,4,1000,128,4,Windows
353,HP,Workstation,2.8,8,Nvidia,2.6,1738.27,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
354,Toshiba,Notebook,2.5,16,Nvidia,2.4,1403.0,0,1,141.21199808219862,Core i7,4,0,512,2,Windows
355,Dell,Notebook,1.8,8,AMD,2.02,970.9,0,0,141.21199808219862,Core i7,4,2000,128,2,Windows
356,Lenovo,Notebook,1.1,4,Intel,2.2,321.99,0,0,100.45466986113651,Celeron,1,1000,0,2,Other
357,Dell,Gaming,2.5,8,Nvidia,2.65,999.0,0,0,141.21199808219862,Core i5,3,1000,0,3,Windows
358,Dell,Notebook,2.5,8,Intel,2.36,557.37,1,0,100.45466986113651,Core i5,3,2000,0,2,Windows
359,Dell,Notebook,2.6,8,Intel,1.36,1427.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
360,HP,Notebook,2.0,4,Intel,1.86,439.0,0,0,100.45466986113651,Core i3,2,500,0,2,Windows
361,Asus,Notebook,2.5,8,Intel,2.0,945.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
362,Lenovo,Notebook,2.5,6,Nvidia,2.8,719.0,0,0,106.11306214269258,Core i5,3,1000,128,2,Windows
363,HP,Notebook,2.5,8,Intel,1.86,639.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
364,Lenovo,Notebook,2.0,8,Nvidia,2.2,499.0,0,0,100.45466986113651,Core i3,2,0,256,2,Other
365,HP,Notebook,1.6,8,Intel,2.04,389.0,0,0,100.45466986113651,Pentium,1,2000,0,2,Windows
366,Dell,Notebook,1.6,8,AMD,2.8,1085.0,0,0,127.33567457123111,Core i5,3,1000,128,2,Windows
367,Lenovo,Gaming,2.5,8,Nvidia,2.4,809.0,0,1,141.21199808219862,Core i5,3,1000,128,3,Other
368,Dell,Notebook,2.7,8,AMD,2.33,899.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
369,HP,Ultrabook,2.7,8,Intel,1.36,1750.0,0,1,157.3505121487356,Core i7,4,0,256,2,Windows
370,Asus,2 in 1 Convertible,2.7,12,Nvidia,2.26,1099.0,1,0,141.21199808219862,Core i7,4,2000,512,2,Windows
371,Acer,Notebook,3.0,4,AMD,2.1,426.0,0,0,100.45466986113651,A9-Series,1,0,128,2,Windows
372,Asus,Gaming,3.0,16,AMD,3.25,2199.0,0,1,127.33567457123111,Ryzen,2,1000,256,2,Windows
373,Lenovo,Notebook,2.2,4,AMD,2.6,489.0,0,0,106.11306214269258,A8-Series,1,0,128,2,Windows
374,Dell,2 in 1 Convertible,1.8,8,Intel,1.62,869.01,1,0,165.6321180513006,Core i7,4,0,256,2,Windows
375,HP,Notebook,3.0,4,AMD,1.91,488.99,0,0,141.21199808219862,A9-Series,1,0,256,2,Windows
376,Lenovo,Netbook,1.1,4,Intel,1.59,553.0,0,1,135.0942111925629,Celeron,1,0,128,2,Windows
377,Dell,Notebook,1.6,4,Intel,1.8,309.0,0,0,100.45466986113651,Celeron,1,500,0,2,Windows
378,Asus,Notebook,1.1,4,Intel,1.5,286.0,0,0,111.93520355955211,Celeron,1,0,0,2,Windows
379,Acer,Notebook,2.8,8,Nvidia,2.4,846.0,0,0,141.21199808219862,Core i7,4,1000,0,3,Other
380,HP,Gaming,2.8,8,Nvidia,3.35,1191.0,0,1,127.33567457123111,Core i7,4,1000,128,3,Windows
381,Lenovo,Notebook,2.0,4,Intel,1.85,403.5,0,0,141.21199808219862,Core i3,2,0,128,2,Other
382,Asus,Gaming,2.8,8,Nvidia,2.3,1655.0,0,1,141.21199808219862,Core i7,4,1000,128,4,Windows
383,Lenovo,Notebook,2.5,8,Nvidia,1.5,1099.0,0,1,157.3505121487356,Core i5,3,0,256,2,Windows
384,Asus,Ultrabook,2.7,16,Intel,1.1,1748.9,1,0,165.6321180513006,Core i7,4,0,512,2,Windows
385,Lenovo,Ultrabook,2.7,8,Intel,1.13,2282.0,0,1,209.8006828649808,Core i7,4,0,512,2,Windows
386,Lenovo,Notebook,2.4,4,Intel,1.5,549.0,0,1,165.6321180513006,Core i3,2,0,128,2,Windows
387,Dell,Workstation,2.6,8,AMD,2.23,1369.0,0,0,141.21199808219862,Core i5,3,500,0,2,Windows
388,Dell,Workstation,2.7,8,Nvidia,2.0,2135.0,0,1,141.21199808219862,Core i7,4,0,256,2,Windows
389,Lenovo,2 in 1 Convertible,2.7,16,Intel,1.42,2509.0,1,0,209.8006828649808,Core i7,4,0,512,2,Windows
390,Asus,Gaming,2.8,8,Nvidia,3.0,1039.0,0,0,127.33567457123111,Core i7,4,1000,0,3,Windows
391,Asus,Gaming,2.8,16,Nvidia,3.0,1591.0,0,0,127.33567457123111,Core i7,4,1000,256,3,Windows
392,Acer,Notebook,1.6,12,Nvidia,2.2,693.99,0,1,100.45466986113651,Core i5,3,1000,0,2,Windows
393,MSI,Gaming,2.8,8,Nvidia,2.7,1349.0,0,0,127.33567457123111,Core i7,4,0,256,3,Windows
394,Dell,Notebook,2.7,8,AMD,2.33,778.87,0,0,141.21199808219862,Core i7,4,0,256,2,Other
395,HP,Ultrabook,3.0,4,AMD,1.91,499.0,0,0,141.21199808219862,A9-Series,1,0,256,2,Windows
396,Lenovo,Notebook,1.8,8,AMD,2.1,1229.56,0,1,141.21199808219862,Core i7,4,0,256,2,Windows
397,Lenovo,Notebook,2.5,8,Intel,1.9,938.0,0,1,157.3505121487356,Core i5,3,0,256,2,Windows
398,Dell,Workstation,2.8,8,Nvidia,1.78,2712.0,1,0,282.42399616439724,Core i7,4,0,256,2,Windows
399,Lenovo,Ultrabook,2.7,16,Intel,1.13,2625.0,0,1,209.8006828649808,Core i7,4,0,1000,2,Windows
400,Lenovo,Notebook,1.1,4,Intel,2.2,306.0,0,0,100.45466986113651,Celeron,1,1000,0,2,Windows
401,Asus,Gaming,2.8,16,Nvidia,2.9,1529.0,0,0,127.33567457123111,Core i7,4,1000,256,3,Windows
402,Lenovo,Notebook,1.6,8,AMD,2.1,1144.5,0,1,141.21199808219862,Core i5,3,1000,256,2,Windows
403,Acer,Notebook,2.8,8,Nvidia,2.5,879.0,0,0,141.21199808219862,Core i7,4,0,256,3,Other
404,MSI,Gaming,2.8,16,Nvidia,2.8,2249.0,0,0,127.33567457123111,Core i7,4,1000,256,4,Windows
405,Asus,Ultrabook,2.7,8,Intel,1.1,1873.0,0,0,157.3505121487356,Core i7,4,0,512,2,Windows
406,Toshiba,Ultrabook,2.5,16,Intel,1.2,1747.0,0,0,165.6321180513006,Core i7,4,0,512,2,Windows
407,Dell,Ultrabook,2.8,8,Intel,1.36,1680.0,0,0,157.3505121487356,Core i7,4,0,512,2,Windows
408,Lenovo,Notebook,2.0,4,Intel,2.2,409.0,0,0,141.21199808219862,Core i3,2,500,0,2,Windows
409,Lenovo,Notebook,1.1,2,Intel,1.15,304.45,0,0,135.0942111925629,Celeron,1,0,0,2,Windows
410,Lenovo,Workstation,2.8,8,Nvidia,2.67,1925.0,0,0,141.21199808219862,Core i7,4,0,512,2,Windows
411,Lenovo,Ultrabook,2.8,8,Nvidia,1.7,1943.0,0,1,209.8006828649808,Core i7,4,0,512,2,Windows
412,HP,Notebook,2.0,4,AMD,2.1,469.0,0,0,141.21199808219862,Core i3,2,1000,0,2,Windows
413,Acer,2 in 1 Convertible,2.5,8,Intel,1.6,789.01,1,1,165.6321180513006,Core i7,4,0,256,2,Windows
414,Asus,2 in 1 Convertible,2.5,8,Intel,1.27,928.0,1,1,165.6321180513006,Core i5,3,0,256,2,Windows
415,Dell,Notebook,2.5,4,AMD,2.3,598.9,0,0,141.21199808219862,Core i5,3,0,256,2,Other
416,Dell,Notebook,2.0,4,Intel,1.65,689.0,0,0,117.82653006268643,Core i3,2,0,128,2,Windows
417,HP,Ultrabook,2.5,8,Intel,1.43,1500.0,0,0,157.3505121487356,Core i7,4,0,256,2,Windows
418,Dell,Notebook,2.5,8,Intel,2.14,539.95,0,0,100.45466986113651,Core i5,3,1000,0,2,Windows
419,Lenovo,Ultrabook,1.8,8,AMD,1.75,1215.38,0,1,157.3505121487356,Core i7,4,0,256,2,Windows
420,Lenovo,2 in 1 Convertible,2.8,16,Nvidia,2.0,1899.0,1,1,282.42399616439724,Core i7,4,0,512,3,Windows
421,Chuwi,Notebook,1.1,6,Intel,1.4,449.0,0,1,267.3384360344031,Celeron,1,0,0,2,Windows
422,HP,Notebook,2.9,8,Intel,2.31,1427.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
423,Asus,Notebook,2.4,8,Nvidia,2.3,597.0,0,0,141.21199808219862,Core i3,2,1000,0,2,Other
424,Dell,Gaming,2.9,16,Nvidia,4.42,2799.0,0,1,169.78089942830815,Core i7,4,1000,256,4,Windows
425,Dell,Gaming,2.8,8,Nvidia,2.62,1159.0,0,1,141.21199808219862,Core i7,4,1000,128,3,Windows
426,Dell,Notebook,1.8,8,AMD,2.02,1142.4,0,0,141.21199808219862,Core i7,4,2000,256,2,Windows
427,Dell,Ultrabook,2.8,8,Intel,1.6,1099.0,0,0,157.3505121487356,Core i7,4,0,256,2,Other
428,HP,Gaming,2.8,12,Nvidia,3.35,1999.0,0,0,127.33567457123111,Core i7,4,1000,256,4,Windows
429,Mediacom,2 in 1 Convertible,1.1,4,Intel,1.16,299.0,1,1,189.90579052433606,Celeron,1,0,32,2,Windows
